Source,Target,sum_appearance,percent,log_ratio
I,I,142,0.054657428791377985,-0.36117361787803426
I,I6,7,0.0026943802925327174,0.8322443195065239
I,I7,6,0.0023094688221709007,0.9965473707978003
I,II,1,0.00038491147036181676,-3.6855838563264194
I,III,1,0.00038491147036181676,-0.10206491787030941
I,IM7,7,0.0026943802925327174,1.1506980506250586
I,IV,156,0.06004618937644342,0.28671327145284037
I,IV6,2,0.0007698229407236335,1.284229443249581
I,IV64,54,0.020785219399538105,1.146079104768764
I,V,176,0.06774441878367975,0.36340355621003495
I,V6,19,0.007313317936874519,0.8964639122408178
I,V7,3,0.0011547344110854503,-0.3252084691845191
I,VI7,2,0.0007698229407236335,-0.5875727336520101
I,ii,33,0.012702078521939953,0.027146813609696875
I,iii,27,0.010392609699769052,0.45293192420881867
I,vi,41,0.01578137028483449,0.35341061081251646
I,vi7,15,0.005773672055427252,0.49577208288531116
I,♭VII,24,0.009237875288683603,0.007935977344019237
I,♯i°7,5,0.001924557351809084,1.284229443249581
I6,IV,11,0.004234026173979984,1.8380873829321795
I7,II7,1,0.00038491147036181676,4.419723659178731
I7,IV,7,0.0026943802925327174,1.7045559903076568
II,I,50,0.01924557351809084,0.22643914910172674
II,II,9,0.003464203233256351,0.14305754016267577
II,V,11,0.004234026173979984,-0.7777683468768709
II,VI,45,0.017321016166281754,2.8102857467446305
II,VI7,2,0.0007698229407236335,1.0438440855008655
II,vi,4,0.001539645881447267,-0.34245027561902514
II,vi7,2,0.0007698229407236335,0.11228588149592189
II,vii,5,0.001924557351809084,1.2292473088322284
II,♭II,6,0.0023094688221709007,2.915646262402457
II,♯iv,6,0.0023094688221709007,2.915646262402457
II7,V7,4,0.001539645881447267,5.177409360876247
III,I7,1,0.00038491147036181676,4.419723659178731
III,vi,3,0.0011547344110854503,2.953386590385304
III7,vi,1,0.00038491147036181676,3.2410686628370846
IM7,vi,8,0.003079291762894534,3.2410686628370846
IV,I,208,0.0800615858352579,0.5743953439046213
IV,I6,1,0.00038491147036181676,-0.5598078898661911
IV,III7,1,0.00038491147036181676,1.8380873829321793
IV,IV,14,0.005388760585065435,-1.57022746649884
IV,IV7,2,0.0007698229407236335,1.8380873829321793
IV,V,107,0.041185527328714396,0.4196063353163874
IV,i,25,0.00962278675904542,0.12970952264317556
IV,i7,1,0.00038491147036181676,0.7394750942640698
IV,ii,36,0.013856812933025405,0.6680161302819247
