Source,Target,sum_appearance,percent,log_ratio
I,I,23,0.004992402865205123,-0.8597098103946829
I,II,89,0.01931842847840243,1.1689146877884473
I,III,6,0.001302365964836119,0.23692423826132125
I,IV,79,0.017147818537008898,0.7669197781350319
I,V,152,0.03299327110918168,1.542807906422934
I,VI,2,0.0004341219882787063,-0.07323069004251856
I,VM7,8,0.0017364879531148252,1.536207222391582
I,ii,35,0.00759713479487736,1.4152546119739193
I,iii,12,0.002604731929672238,-0.2761715340392088
I,vi,48,0.010418927718688952,1.083275577044494
I,vi7,13,0.002821792923811591,1.0101141264948028
I,♭III,8,0.0017364879531148252,-1.5491372098520964
I,♭VII,25,0.005426524853483829,-0.4733481918240875
I6,IV,4,0.0008682439765574126,2.6220303549433703
II,I,104,0.02257434339049273,1.3246692171976802
II,II,3,0.0006511829824180595,-1.545627048895443
II,II64,3,0.0006511829824180595,2.9048367473316676
II,V,16,0.0034729759062296505,-0.033001547803421044
II,V6,1,0.00021706099413935315,0.5069414745332966
II,iii,84,0.018233123507705666,2.3452209593962445
II,vi,42,0.009116561753852833,1.6252265288001113
II64,V,3,0.0006511829824180595,2.7434858148520176
III,I,2,0.0004341219882787063,-0.8616880504067885
III,III,17,0.0036900369003690036,3.7187469084465805
III,VII6,1,0.00021706099413935315,4.669723198308626
III,vi,6,0.001302365964836119,1.4442028307217567
III,♯IV,1,0.00021706099413935315,1.450847373440425
III,♯i,16,0.0034729759062296505,4.397789482824984
IV,I,204,0.04428044280442804,1.7155919195122267
IV,IV,29,0.0062947688300412415,0.1574437076463274
IV,V,43,0.009333622747992185,0.672803453262063
IV,VI7,3,0.0006511829824180595,2.6220303549433703
IV,i,4,0.0008682439765574126,-2.1962330465054296
IV,ii7,2,0.0004341219882787063,1.928883174383425
IV,v,3,0.0006511829824180595,-1.206611041545725
IV,vi,17,0.0036900369003690036,0.437963862184662
IV,vi7,5,0.0010853049706967658,0.4472786334592095
IV,♭III,3,0.0006511829824180595,-2.1372905108719795
IV,♭VI,13,0.002821792923811591,-0.7714449806248748
IV,♭VII,11,0.002387670935532885,-0.9016527919020748
IV6,IV6,2,0.0004341219882787063,2.2790856038165397
IV6,V7,2,0.0004341219882787063,2.380868298126482
IV6,v,16,0.0034729759062296505,2.865260664824317
IV6,♭VI,11,0.002387670935532885,1.4593962075103297
IV7,V7,20,0.004341219882787063,4.651704692805947
IV7,♭VII9,12,0.002604731929672238,4.908134221753624
IVM7,I,11,0.002387670935532885,2.2293544029515275
V,I,47,0.010201866724549598,0.36907498728671617
V,II,86,0.01866724549598437,1.6487570262103053
V,IV,29,0.0062947688300412415,0.2788991675549747
V,IVM7,11,0.002387670935532885,2.7434858148520176
V,V,11,0.002387670935532885,-0.5690459297244816
V,VII,2,0.0004341219882787063,1.4907228463566493
V,i,5,0.0010853049706967658,-1.8516340352825724
V,ii,6,0.001302365964836119,0.1657974316130509
V,ii7,2,0.0004341219882787063,2.050338634292072
V,iii,38,0.00824831777729542,1.3906393877996668
V,v,1,0.00021706099413935315,-2.1837678703051875
V,vi,35,0.00759713479487736,1.2815540395265068
V,vi7,24,0.005209463859344476,2.137350011281702
V,♭VI,3,0.0006511829824180595,-2.116326589509655
V+,V7,1,0.00021706099413935315,2.6368016722636827
V+,i7,5,0.0010853049706967658,4.052083570256825
V+,vii7,1,0.00021706099413935315,5.9690061824388865
V+,viiø7,3,0.0006511829824180595,5.681324109987106
V+,♯VM7,2,0.0004341219882787063,3.1068053015094184
V6,I,10,0.0021706099413935317,2.1340442231472028
V6,II,1,0.00021706099413935315,0.5069414745332966
V7,V7,2,0.0004341219882787063,2.482650992436424
V7,i,5,0.0010853049706967658,0.5265884719170932
V7,i7,3,0.0006511829824180595,2.6939600861036315
V7,viiø7,1,0.00021706099413935315,3.7354139609317927
V7,♯VM7,17,0.0036900369003690036,4.399573604618485
VI,III,15,0.0032559149120902973,4.382041125856845
VI,VII,3,0.0006511829824180595,4.6108826982856925
VI,♭VI,2,0.0004341219882787063,0.19290304620305956
VI7,ii,3,0.0006511829824180595,4.084464979759866
VII,I,2,0.0004341219882787063,0.9765914344561591
VII,VII,1,0.00021706099413935315,4.56209253411626
VII,♯i,3,0.0006511829824180595,4.56209253411626
VII6,♯i,1,0.00021706099413935315,5.409390394503464
VM7,I,16,0.0034729759062296505,2.229354402951527
i,IV,18,0.003907097894508357,-0.6921556497291552
i,i,62,0.013457781636639896,0.171931692134598
i,i42,1,0.00021706099413935315,2.249355069658197
i,iv,27,0.005860646841762535,0.4514417348557635
i,v,50,0.010853049706967658,1.234124389929138
i,viø7,32,0.006945951812459301,1.8649433707478649
i,♭II,7,0.001519426958975472,-0.4099049672745814
i,♭III,64,0.013891903624918602,0.5503049985344092
i,♭VI,151,0.03277621011504233,1.3082102134433393
i,♭VII,52,0.011287171695246364,0.2790203685958086
i,♯I,6,0.001302365964836119,1.3330643377840419
i,♯V,7,0.001519426958975472,0.08439135454019882
i,♯VI,13,0.002821792923811591,1.380317222634587
i42,viø7,1,0.00021706099413935315,4.603765230516829
i7,IV7,8,0.0017364879531148252,3.541257946490835
i7,i7,1,0.00021706099413935315,1.4011917829945642
i7,viø7,1,0.00021706099413935315,1.077404705900667
i7,♭IIIM7,24,0.005209463859344476,4.522087199502561
ii,I,1,0.00021706099413935315,-2.1400934495154944
ii,IV,31,0.006728890818319948,1.6865697069614949
ii,ii,6,0.001302365964836119,1.506776596520899
ii,♭VI,2,0.0004341219882787063,-1.180812532709971
ii,♭VII,36,0.007814195789016714,1.74640549857216
ii,♭vii,3,0.0006511829824180595,2.187344994873984
ii7,I6,4,0.0008682439765574126,7.0676184711069965
iii,I,2,0.0004341219882787063,-2.0679310032672635
iii,II,65,0.014108964619057956,2.088791430448568
iii,III,2,0.0004341219882787063,0.37243779208983485
iii,IV,44,0.00955068374213154,1.415787402082895
iii,V,12,0.002604731929672238,0.23795987786128142
iii,V6,6,0.001302365964836119,2.857344441877835
iii,VM7,8,0.0017364879531148252,2.7703330648882054
iii,vii,4,0.0008682439765574126,3.463480245448151
iii,♯iv,2,0.0004341219882787063,3.058015137339986
iv,I,4,0.0008682439765574126,-1.4781014367353447
iv,IV,2,0.0004341219882787063,-1.7785726653034468
iv,V,1,0.00021706099413935315,-2.350264385954745
iv,i,26,0.005643585847623182,0.41370140687291634
iv,iv64,1,0.00021706099413935315,3.3601626314201245
iv,v,25,0.005426524853483829,1.6517847711311207
iv,♭II,8,0.0017364879531148252,0.8344339871118691
iv,♭III,45,0.009767744736270892,1.308891966706985
iv,♭VI,22,0.00477534187106577,0.4927803917486586
iv,♭VII,13,0.002821792923811591,0.003533569237845832
iv,♭vii,14,0.003038853917950944,3.0034876874813925
iv,♭vii64,1,0.00021706099413935315,0.7952132739585878
iv64,♭vii,1,0.00021706099413935315,5.458180558672896
v,IV,3,0.0006511829824180595,-1.206611041545725
v,i,45,0.009767744736270892,1.1287638742713118
v,iv,26,0.005643585847623182,1.691005484284402
v,v,2,0.0004341219882787063,-0.7074473575275771
v,♭III,19,0.00412415888864771,0.6131649717526634
