Source,Target,sum_appearance,percent,log_ratio,probability
I,I,222,0.023472192852611547,0.2747299442077348,0.1776
I,I+,12,0.0012687671812222456,2.0235380262401903,0.0096
I,I6,37,0.003912032142101924,1.4600686689887776,0.0296
I,I7,12,0.0012687671812222456,1.5640056968617504,0.0096
I,I9,4,0.00042292239374074856,2.0235380262401907,0.0032
I,II,37,0.003912032142101924,0.032337118004714005,0.0296
I,II7,2,0.00021146119687037428,-0.17368655109602885,0.0016
I,III,3,0.0003171917953055614,-3.0884497621163525,0.0024
I,III7,3,0.0003171917953055614,0.6372436651202998,0.0024
I,IM7,14,0.00148022837809262,1.9545451547532389,0.0112
I,IV,219,0.023155001057305984,0.44658556895057855,0.1752
I,IVM7,1,0.00010573059843518714,-0.5414113312213462,0.0008
I,V,265,0.02801860858532459,0.5715265934632844,0.212
I,V6,27,0.0028547261577500527,1.427554594133893,0.0216
I,V7,6,0.0006343835906111228,-0.5791516592041934,0.0048
I,VI,1,0.00010573059843518714,-4.618948775127065,0.0008
I,VI6,3,0.0003171917953055614,0.9249257375720809,0.0024
I,VI7,2,0.00021146119687037428,0.07762787718487724,0.0016
I,VII,4,0.00042292239374074856,-3.195465533588121,0.0032
I,ii,70,0.0074011418904631,0.6090727881536037,0.056
I,ii7,10,0.0010573059843518714,0.33713907266996185,0.008
I,iiM7,1,0.00010573059843518714,-0.46136862354780994,0.0008
I,iii,78,0.008246986677944598,1.133222780769296,0.0624
I,iii64,5,0.0005286529921759357,2.0235380262401903,0.004
I,iv,2,0.00021146119687037428,-2.620852872901182,0.0016
I,v,10,0.0010573059843518714,-0.518063967224355,0.008
I,v7,5,0.0005286529921759357,0.588453500950868,0.004
I,vi,159,0.016811165151194754,0.6905250317332366,0.1272
I,vi7,21,0.00222034256713893,0.8784057219371881,0.0168
I,♭VII,1,0.00010573059843518714,-2.103596358804901,0.0008
I,♭VII64,10,0.0010573059843518714,0.6125510525299284,0.008
I,♯IV,1,0.00010573059843518714,-1.1953377986280103,0.0008
I,♯V,3,0.0003171917953055614,-0.24514551507817384,0.0024
I+,I,9,0.0009515753859166843,1.7358559537884095,0.8181818181818182
I+,IV,2,0.00021146119687037428,0.4172398338107578,0.18181818181818182
I6,IV,47,0.004969338126453796,1.8847596348532345,0.7230769230769231
I6,V,4,0.00042292239374074856,-0.644810677393949,0.06153846153846154
I6,ii,6,0.0006343835906111228,1.1294352093413977,0.09230769230769231
I6,vi,5,0.0005286529921759357,0.2081569359562037,0.07692307692307693
I6,♭VII6,3,0.0003171917953055614,3.7966634159233523,0.046153846153846156
I64,II6,1,0.00010573059843518714,5.99696965979698,0.3333333333333333
I64,V,2,0.00021146119687037428,1.737817123273633,0.6666666666666666
I7,I7,2,0.00021146119687037428,3.9792927123719903,0.10526315789473684
I7,IV,9,0.0009515753859166843,1.461784901208592,0.47368421052631576
I7,IVM7,2,0.00021146119687037428,4.358782334076894,0.10526315789473684
I7,ii7,2,0.00021146119687037428,2.934747644974156,0.10526315789473684
I7,vi7,4,0.00042292239374074856,3.4272241300719504,0.21052631578947367
I9,I7,3,0.0003171917953055614,5.942902438526705,1.0
II,I,33,0.0034891097483611758,-0.08207323317303013,0.12452830188679245
II,II,33,0.0034891097483611758,1.4672934098520043,0.12452830188679245
II,II7,5,0.0005286529921759357,2.2919708238031604,0.018867924528301886
II,III,4,0.00042292239374074856,-1.2514010466395373,0.01509433962264151
II,IV,6,0.0006343835906111228,-1.601360048612833,0.022641509433962263
II,V,48,0.0050750687248889825,0.41236442140998736,0.1811320754716981
II,VI,73,0.0077183336857686614,1.2208773090463596,0.27547169811320754
II,VI7,3,0.0003171917953055614,2.032459628318076,0.011320754716981131
II,i,1,0.00010573059843518714,-3.01050455289354,0.0037735849056603774
II,iii7,9,0.0009515753859166843,2.6790867932431284,0.033962264150943396
II,vi,12,0.0012687671812222456,-0.34410587767396034,0.045283018867924525
