Source,Target,sum_appearance,percent,log_ratio,probability
I,I,514,0.02404565868263473,-0.1398300063687894,0.14585698070374575
I,I64,16,0.0007485029940119761,1.0210948704087375,0.004540295119182747
I,I7,19,0.0008888473053892215,0.37884533635778894,0.005391600454029512
I,I9,4,0.00018712574850299402,1.8038542096583703,0.0011350737797956867
I,II,75,0.0035086077844311376,0.09547634936936596,0.021282633371169125
I,II7,22,0.0010291916167664672,0.2505057638753133,0.006242905788876277
I,III,30,0.001403443113772455,-1.9833611451764281,0.00851305334846765
I,III7,11,0.0005145958083832336,0.351601880746682,0.0031214528944381384
I,IM7,60,0.00280688622754491,1.7238115019848335,0.0170261066969353
I,IV,753,0.03522642215568862,0.4332871260264378,0.21367763904653803
I,IV6,1,4.6781437125748506e-05,-2.6149863981382278,0.00028376844494892167
I,IV64,9,0.00042103293413173654,0.7052419209902606,0.002553916004540295
I,IV7,1,4.6781437125748506e-05,-1.8070637029858543,0.00028376844494892167
I,IVM43,4,0.00018712574850299402,1.5807106583441604,0.0011350737797956867
I,V,769,0.0359749251497006,0.5941759956648812,0.21821793416572077
I,V6,91,0.0042571107784431135,1.3730712935659155,0.025822928490351872
I,V64,11,0.0005145958083832336,1.311377724560576,0.0031214528944381384
I,V7,27,0.0012630988023952096,-0.26160109004672594,0.007661748013620885
I,VI,22,0.0010291916167664672,-2.2942710754036364,0.006242905788876277
I,VII,18,0.0008420658682634731,-2.4294468176500725,0.00510783200908059
I,i,6,0.000280688622754491,-3.6994427375762053,0.00170261066969353
I,ii,154,0.00720434131736527,0.31138797380977395,0.04370034052213394
I,ii42,1,4.6781437125748506e-05,0.012094740430315084,0.00028376844494892167
I,ii7,58,0.0027133233532934133,0.6120237921581595,0.016458569807037457
I,iii,69,0.0032279191616766466,0.3143756123032486,0.019580022701475595
I,iii7,4,0.00018712574850299402,0.29977681288209623,0.0011350737797956867
I,iv,9,0.00042103293413173654,-1.7672422087991826,0.002553916004540295
I,v,49,0.0022922904191616765,-0.02791059418338414,0.013904653802497162
I,v7,9,0.00042103293413173654,0.5045712255281092,0.002553916004540295
I,vi,386,0.01805763473053892,0.5407818715041407,0.10953461975028377
I,vi7,34,0.001590568862275449,0.5427229914924854,0.009648127128263337
I,vii,4,0.00018712574850299402,-1.014544048612705,0.0011350737797956867
I,vii7,8,0.00037425149700598805,1.1752455502359958,0.0022701475595913734
I,♭II,7,0.0003274700598802395,-0.14205593939694333,0.0019863791146424517
I,♭II7,1,4.6781437125748506e-05,0.7052419209902604,0.00028376844494892167
I,♭III,20,0.0009356287425149701,-0.5756919244718037,0.0056753688989784334
I,♭IV7,3,0.0001403443113772455,1.80385420965837,0.000851305334846765
I,♭VI,18,0.0008420658682634731,-0.380947847679292,0.00510783200908059
I,♭VII,177,0.008280314371257485,0.7554455129568395,0.050227014755959136
I,♭VII64,1,4.6781437125748506e-05,-0.7610951478031668,0.00028376844494892167
I,♭ii°,1,4.6781437125748506e-05,1.8038542096583703,0.00028376844494892167
I,♭vi°,2,9.356287425149701e-05,1.110707029098425,0.0005675368898978433
I,♯I,3,0.0001403443113772455,-1.104866686905991,0.000851305334846765
I,♯VI,2,9.356287425149701e-05,-0.7610951478031668,0.0005675368898978433
I,♯iii,28,0.001309880239520958,1.552539781377464,0.007945516458569807
I,♯vi,13,0.0006081586826347306,1.1107070290984247,0.0036889897843359817
I42,IV,6,0.000280688622754491,1.9951293797088685,1.0
I43,vii,3,0.0001403443113772455,5.785069071749729,1.0
I6,I,7,0.0003274700598802395,-0.3445802035084175,0.11666666666666667
I6,IV,11,0.0005145958083832336,0.29868009028513853,0.18333333333333332
I6,i6,1,4.6781437125748506e-05,3.330467771457057,0.016666666666666666
I6,ii,30,0.001403443113772455,2.767195672318524,0.5
