Id,sum_appearance,percent,average_appearance
IV64,62,0.02359208523592085,2.066666666666667
I,736,0.2800608828006088,24.533333333333335
vi,104,0.0395738203957382,3.466666666666667
V,442,0.16818873668188736,14.733333333333333
ii,116,0.0441400304414003,3.8666666666666667
IV,423,0.16095890410958905,14.1
♭VII,86,0.03272450532724505,2.8666666666666667
I6,11,0.004185692541856925,0.36666666666666664
V7,15,0.005707762557077625,0.5
I7,8,0.0030441400304414,0.26666666666666666
IV7,2,0.00076103500761035,0.06666666666666667
VI7,13,0.004946727549467275,0.43333333333333335
II7,4,0.0015220700152207,0.13333333333333333
III,4,0.0015220700152207,0.13333333333333333
i,138,0.05251141552511415,4.6
♭III,50,0.01902587519025875,1.6666666666666667
v,9,0.003424657534246575,0.3
♯i°7,5,0.001902587519025875,0.16666666666666666
iv,13,0.004946727549467275,0.43333333333333335
i7,3,0.001141552511415525,0.1
♭VI,13,0.004946727549467275,0.43333333333333335
II,144,0.0547945205479452,4.8
vii,27,0.010273972602739725,0.9
VI,50,0.01902587519025875,1.6666666666666667
iii,62,0.02359208523592085,2.066666666666667
III7,1,0.000380517503805175,0.03333333333333333
IM7,8,0.0030441400304414,0.26666666666666666
IVM7,2,0.00076103500761035,0.06666666666666667
vi7,33,0.012557077625570776,1.1
♭vi°,2,0.00076103500761035,0.06666666666666667
V6,28,0.0106544901065449,0.9333333333333333
IV6,2,0.00076103500761035,0.06666666666666667
♭II,6,0.00228310502283105,0.2
♯iv,6,0.00228310502283105,0.2
