Id,sum_appearance,percent,average_appearance
i,495,0.1064516129032258,11.511627906976743
♭VI,387,0.0832258064516129,9.0
♭III,350,0.07526881720430108,8.13953488372093
♭VII,373,0.08021505376344086,8.674418604651162
v,138,0.02967741935483871,3.2093023255813953
IV6,31,0.006666666666666667,0.7209302325581395
V7,28,0.006021505376344086,0.6511627906976745
♯i,21,0.004516129032258065,0.4883720930232558
VI,20,0.004301075268817204,0.46511627906976744
III,44,0.00946236559139785,1.0232558139534884
♯IV,25,0.005376344086021506,0.5813953488372093
VII,7,0.0015053763440860215,0.16279069767441862
VII6,1,0.00021505376344086021,0.023255813953488372
♯iv,3,0.0006451612903225806,0.06976744186046512
vi7,44,0.00946236559139785,1.0232558139534884
I,505,0.1086021505376344,11.744186046511627
IV,341,0.07333333333333333,7.930232558139535
V,302,0.06494623655913978,7.023255813953488
vi,151,0.03247311827956989,3.511627906976744
V6,11,0.0023655913978494624,0.2558139534883721
ii7,4,0.0008602150537634409,0.09302325581395349
I6,4,0.0008602150537634409,0.09302325581395349
ii,79,0.01698924731182796,1.8372093023255813
iii,147,0.031612903225806455,3.4186046511627906
VI7,3,0.0006451612903225806,0.06976744186046512
♭vii,20,0.004301075268817204,0.46511627906976744
♭IV,8,0.0017204301075268817,0.18604651162790697
𝄫VI,4,0.0008602150537634409,0.09302325581395349
iv,163,0.03505376344086022,3.7906976744186047
♯VI,31,0.006666666666666667,0.7209302325581395
♯II,26,0.005591397849462366,0.6046511627906976
♯I,15,0.0032258064516129032,0.3488372093023256
♯V,61,0.013118279569892474,1.4186046511627908
𝄪iv,18,0.003870967741935484,0.4186046511627907
♯vii,6,0.0012903225806451613,0.13953488372093023
II,257,0.055268817204301074,5.976744186046512
VM7,16,0.0034408602150537634,0.37209302325581395
II64,3,0.0006451612903225806,0.06976744186046512
i7,34,0.007311827956989247,0.7906976744186046
IV7,32,0.006881720430107527,0.7441860465116279
♭VII9,13,0.002795698924731183,0.3023255813953488
♭IIIM7,36,0.007741935483870968,0.8372093023255814
viø7,47,0.01010752688172043,1.0930232558139534
♯VM7,35,0.007526881720430108,0.813953488372093
V+,12,0.0025806451612903226,0.27906976744186046
vii°7,20,0.004301075268817204,0.46511627906976744
viiø7,4,0.0008602150537634409,0.09302325581395349
vii7,1,0.00021505376344086021,0.023255813953488372
♭II,100,0.021505376344086023,2.3255813953488373
♯ii,26,0.005591397849462366,0.6046511627906976
♯vi,26,0.005591397849462366,0.6046511627906976
♯iii,22,0.004731182795698925,0.5116279069767442
vii,4,0.0008602150537634409,0.09302325581395349
♭VII6,8,0.0017204301075268817,0.18604651162790697
♭VIM7,32,0.006881720430107527,0.7441860465116279
i42,1,0.00021505376344086021,0.023255813953488372
♭V,17,0.0036559139784946237,0.3953488372093023
♭vii64,13,0.002795698924731183,0.3023255813953488
iv64,1,0.00021505376344086021,0.023255813953488372
♭iii,13,0.002795698924731183,0.3023255813953488
IVM7,11,0.0023655913978494624,0.2558139534883721
