Id,sum_appearance,percent,average_appearance
i,723,0.07566718995290424,7.453608247422681
♭III,522,0.054631083202511775,5.381443298969073
iv,208,0.021768707482993196,2.1443298969072164
♭VI,687,0.07189952904238618,7.082474226804123
V,1132,0.1184720041862899,11.670103092783505
i7,8,0.000837257980115123,0.08247422680412371
iv64,7,0.0007326007326007326,0.07216494845360824
♭VI6,6,0.0006279434850863422,0.061855670103092786
v,127,0.013291470434327577,1.309278350515464
♭VII,717,0.0750392464678179,7.391752577319588
IV,1060,0.1109366823652538,10.927835051546392
♭VII64,41,0.004290947148090005,0.422680412371134
IVM9,11,0.001151229722658294,0.1134020618556701
I6,65,0.006802721088435374,0.6701030927835051
♭VII6,17,0.0017791732077446364,0.17525773195876287
IV64,1,0.00010465724751439037,0.010309278350515464
I,1276,0.13354264782836212,13.154639175257731
VI,232,0.024280481423338565,2.3917525773195876
ii7,54,0.00565149136577708,0.5567010309278351
V65,3,0.0003139717425431711,0.030927835051546393
v7,21,0.002197802197802198,0.21649484536082475
ii,288,0.030141287284144426,2.9690721649484537
VI7,18,0.0018838304552590266,0.18556701030927836
vi7,66,0.006907378335949764,0.6804123711340206
V+7,1,0.00010465724751439037,0.010309278350515464
V7,81,0.00847723704866562,0.8350515463917526
iii,188,0.01967556253270539,1.9381443298969072
vi,592,0.0619570905285191,6.103092783505154
♭II,114,0.011930926216640502,1.175257731958763
♭III64,3,0.0003139717425431711,0.030927835051546393
V6,49,0.005128205128205128,0.5051546391752577
iiM7,12,0.0012558869701726845,0.12371134020618557
♯IV,25,0.0026164311878597592,0.25773195876288657
♯V,29,0.0030350601779173206,0.29896907216494845
♯I,13,0.0013605442176870747,0.13402061855670103
♭vii,26,0.0027210884353741495,0.26804123711340205
II,271,0.02836211407639979,2.7938144329896906
vii,119,0.012454212454212455,1.2268041237113403
♭VI+,3,0.0003139717425431711,0.030927835051546393
III,95,0.009942438513867086,0.979381443298969
II7,18,0.0018838304552590266,0.18556701030927836
♯iv,41,0.004290947148090005,0.422680412371134
VII7,10,0.0010465724751439038,0.10309278350515463
♯iv7,10,0.0010465724751439038,0.10309278350515463
♭IIIM43,22,0.002302459445316588,0.2268041237113402
♭IIIM7,16,0.001674515960230246,0.16494845360824742
♭VIM7,13,0.0013605442176870747,0.13402061855670103
I7,19,0.001988487702773417,0.1958762886597938
iii7,22,0.002302459445316588,0.2268041237113402
III7,12,0.0012558869701726845,0.12371134020618557
IVM7,13,0.0013605442176870747,0.13402061855670103
IM7,15,0.0015698587127158557,0.15463917525773196
II6,8,0.000837257980115123,0.08247422680412371
II9,1,0.00010465724751439037,0.010309278350515464
♭VI7,5,0.0005232862375719519,0.05154639175257732
♭ii,6,0.0006279434850863422,0.061855670103092786
♭viiø7,3,0.0003139717425431711,0.030927835051546393
♯IM7,1,0.00010465724751439037,0.010309278350515464
♯i,53,0.00554683411826269,0.5463917525773195
♯vi,6,0.0006279434850863422,0.061855670103092786
♯I7,24,0.002511773940345369,0.24742268041237114
♯V7,17,0.0017791732077446364,0.17525773195876287
♯IV7,3,0.0003139717425431711,0.030927835051546393
VII64,8,0.000837257980115123,0.08247422680412371
♯i7,1,0.00010465724751439037,0.010309278350515464
♭vi,18,0.0018838304552590266,0.18556701030927836
♭I,1,0.00010465724751439037,0.010309278350515464
VII,84,0.008791208791208791,0.865979381443299
I9,4,0.0004186289900575615,0.041237113402061855
vi42,34,0.0035583464154892728,0.35051546391752575
♯v,3,0.0003139717425431711,0.030927835051546393
♯II7,1,0.00010465724751439037,0.010309278350515464
I64,3,0.0003139717425431711,0.030927835051546393
♭iii,15,0.0015698587127158557,0.15463917525773196
I+,12,0.0012558869701726845,0.12371134020618557
iii6,4,0.0004186289900575615,0.041237113402061855
iii64,5,0.0005232862375719519,0.05154639175257732
ii9,1,0.00010465724751439037,0.010309278350515464
IV+,5,0.0005232862375719519,0.05154639175257732
i9,6,0.0006279434850863422,0.061855670103092786
IV7,10,0.0010465724751439038,0.10309278350515463
♭VII7,10,0.0010465724751439038,0.10309278350515463
iv7,6,0.0006279434850863422,0.061855670103092786
♭III6,7,0.0007326007326007326,0.07216494845360824
V+,3,0.0003139717425431711,0.030927835051546393
♭III7,2,0.00020931449502878074,0.020618556701030927
VI6,3,0.0003139717425431711,0.030927835051546393
III64,3,0.0003139717425431711,0.030927835051546393
♭V,17,0.0017791732077446364,0.17525773195876287
♭vii64,13,0.0013605442176870747,0.13402061855670103
IV6,20,0.0020931449502878076,0.20618556701030927
i42,4,0.0004186289900575615,0.041237113402061855
♭vi°7,3,0.0003139717425431711,0.030927835051546393
