Id,sum_appearance,percent,average_appearance
I,3590,0.16629609042060403,16.933962264150942
IV,2965,0.1373448211969613,13.985849056603774
vi,1365,0.0632295719844358,6.438679245283019
V,2578,0.11941819529368168,12.160377358490566
♭VI,160,0.007411524921252547,0.7547169811320755
i,1473,0.06823235130628126,6.94811320754717
III,1324,0.06133036872336483,6.245283018867925
iv,320,0.014823049842505095,1.509433962264151
VI,1325,0.06137669075412266,6.25
i7,144,0.006670372429127293,0.6792452830188679
iv64,15,0.0006948304613674264,0.07075471698113207
VI6,16,0.0007411524921252547,0.07547169811320754
v,306,0.014174541411895497,1.4433962264150944
VII,1241,0.05748564017046507,5.85377358490566
II,414,0.01917732073374097,1.9528301886792452
vii,67,0.003103576060774504,0.3160377358490566
ii,685,0.03173059106911247,3.231132075471698
♭VII,505,0.023392625532703354,2.3820754716981134
♭III,216,0.010005558643690939,1.0188679245283019
VII6,81,0.0037520844913841024,0.38207547169811323
V7,213,0.009866592551417454,1.0047169811320755
I7,79,0.0036594404298684454,0.37264150943396224
IV7,37,0.0017139151380396516,0.17452830188679244
iii,306,0.014174541411895497,1.4433962264150944
♭vi°,4,0.00018528812303131369,0.018867924528301886
III7,47,0.002177135445617936,0.22169811320754718
vii°,5,0.0002316101537891421,0.02358490566037736
♯iii,36,0.0016675931072818232,0.16981132075471697
v6,21,0.0009727626459143969,0.09905660377358491
♯VI7,13,0.0006021863998517695,0.06132075471698113
♯VII+,3,0.00013896609227348526,0.014150943396226415
♯III+,3,0.00013896609227348526,0.014150943396226415
VI7,19,0.0008801185843987401,0.08962264150943396
ii7,191,0.008847507874745229,0.9009433962264151
♭II+,7,0.00032425421530479895,0.0330188679245283
v7,33,0.001528627015008338,0.15566037735849056
vii7,15,0.0006948304613674264,0.07075471698113207
V6,140,0.00648508430609598,0.660377358490566
♭ii°,1,4.632203075782842e-05,0.0047169811320754715
♯vi°,1,4.632203075782842e-05,0.0047169811320754715
vi7,120,0.005558643690939411,0.5660377358490566
IVM7,60,0.0027793218454697055,0.2830188679245283
IV6,83,0.003844728552899759,0.3915094339622642
IV64,27,0.0012506948304613673,0.12735849056603774
♯VII,20,0.0009264406151565684,0.09433962264150944
♯i,79,0.0036594404298684454,0.37264150943396224
♯IV,58,0.0026866777839540485,0.27358490566037735
♯ii,8,0.00037057624606262737,0.03773584905660377
♯i7,8,0.00037057624606262737,0.03773584905660377
♯VII9,2,9.264406151565684e-05,0.009433962264150943
♯III,5,0.0002316101537891421,0.02358490566037736
♯IV7,11,0.0005095423383361127,0.05188679245283019
♭V,12,0.0005558643690939411,0.05660377358490566
♭II,49,0.002269779507133593,0.23113207547169812
II7,104,0.004817491198814156,0.49056603773584906
VII7,14,0.0006485084306095979,0.0660377358490566
♯iv,140,0.00648508430609598,0.660377358490566
i9,18,0.0008337965536409116,0.08490566037735849
VIIM9,18,0.0008337965536409116,0.08490566037735849
iii7,18,0.0008337965536409116,0.08490566037735849
iii9,1,4.632203075782842e-05,0.0047169811320754715
♯VI,26,0.001204372799703539,0.12264150943396226
V65,7,0.00032425421530479895,0.0330188679245283
I6,60,0.0027793218454697055,0.2830188679245283
II6,12,0.0005558643690939411,0.05660377358490566
V+,6,0.00027793218454697053,0.02830188679245283
♭VI7,4,0.00018528812303131369,0.018867924528301886
♭II7,3,0.00013896609227348526,0.014150943396226415
VIM7,65,0.0030109319992588477,0.30660377358490565
♯vi,26,0.001204372799703539,0.12264150943396226
IM7,65,0.0030109319992588477,0.30660377358490565
V64,18,0.0008337965536409116,0.08490566037735849
iv7,13,0.0006021863998517695,0.06132075471698113
♭IIM7,14,0.0006485084306095979,0.0660377358490566
♭VIIM7,3,0.00013896609227348526,0.014150943396226415
I64,35,0.001621271076523995,0.1650943396226415
ii42,6,0.00027793218454697053,0.02830188679245283
III6,9,0.0004168982768204558,0.04245283018867924
VI64,40,0.0018528812303131369,0.18867924528301888
♭IIIM7,3,0.00013896609227348526,0.014150943396226415
♯i64,3,0.00013896609227348526,0.014150943396226415
♯iv7,5,0.0002316101537891421,0.02358490566037736
viM7,3,0.00013896609227348526,0.014150943396226415
II9,3,0.00013896609227348526,0.014150943396226415
II64,3,0.00013896609227348526,0.014150943396226415
♯i°7,3,0.00013896609227348526,0.014150943396226415
II42,1,4.632203075782842e-05,0.0047169811320754715
♭iii°7,4,0.00018528812303131369,0.018867924528301886
♭iiø7,4,0.00018528812303131369,0.018867924528301886
♯ivø7,2,9.264406151565684e-05,0.009433962264150943
♭III64,2,9.264406151565684e-05,0.009433962264150943
I9,4,0.00018528812303131369,0.018867924528301886
♯vi7,1,4.632203075782842e-05,0.0047169811320754715
♭ii,5,0.0002316101537891421,0.02358490566037736
IIIM7,6,0.00027793218454697053,0.02830188679245283
♯v,14,0.0006485084306095979,0.0660377358490566
VIIM7,2,9.264406151565684e-05,0.009433962264150943
♭VII6,1,4.632203075782842e-05,0.0047169811320754715
♭vii,3,0.00013896609227348526,0.014150943396226415
VII64,15,0.0006948304613674264,0.07075471698113207
viiø7,4,0.00018528812303131369,0.018867924528301886
♯iv°7,3,0.00013896609227348526,0.014150943396226415
I43,3,0.00013896609227348526,0.014150943396226415
vii6,3,0.00013896609227348526,0.014150943396226415
♯iii°7,3,0.00013896609227348526,0.014150943396226415
v°7,3,0.00013896609227348526,0.014150943396226415
v42,1,4.632203075782842e-05,0.0047169811320754715
♯I7,9,0.0004168982768204558,0.04245283018867924
♯II7,1,4.632203075782842e-05,0.0047169811320754715
♭III9,1,4.632203075782842e-05,0.0047169811320754715
vi42,2,9.264406151565684e-05,0.009433962264150943
♯iv°,3,0.00013896609227348526,0.014150943396226415
♯I,55,0.0025477116916805633,0.25943396226415094
♯ii°,1,4.632203075782842e-05,0.0047169811320754715
V43,1,4.632203075782842e-05,0.0047169811320754715
♯I+,2,9.264406151565684e-05,0.009433962264150943
VI+,6,0.00027793218454697053,0.02830188679245283
♯IV+,4,0.00018528812303131369,0.018867924528301886
♭VII64,13,0.0006021863998517695,0.06132075471698113
iiiø7,4,0.00018528812303131369,0.018867924528301886
iv°,4,0.00018528812303131369,0.018867924528301886
♭VII7,4,0.00018528812303131369,0.018867924528301886
♯v°,9,0.0004168982768204558,0.04245283018867924
♯V7,15,0.0006948304613674264,0.07075471698113207
♭III7,1,4.632203075782842e-05,0.0047169811320754715
iii°,1,4.632203075782842e-05,0.0047169811320754715
i6,13,0.0006021863998517695,0.06132075471698113
♭vii°,2,9.264406151565684e-05,0.009433962264150943
vi64,3,0.00013896609227348526,0.014150943396226415
I42,6,0.00027793218454697053,0.02830188679245283
♭vi,2,9.264406151565684e-05,0.009433962264150943
IVM43,5,0.0002316101537891421,0.02358490566037736
♭IV7,3,0.00013896609227348526,0.014150943396226415
♭iv,14,0.0006485084306095979,0.0660377358490566
♯V,4,0.00018528812303131369,0.018867924528301886
vi9,3,0.00013896609227348526,0.014150943396226415
VII65,7,0.00032425421530479895,0.0330188679245283
III64,9,0.0004168982768204558,0.04245283018867924
iv11,6,0.00027793218454697053,0.02830188679245283
i43,1,4.632203075782842e-05,0.0047169811320754715
IIM7,36,0.0016675931072818232,0.16981132075471697
