,I,I6,I7,II,II7,III,III7,IM7,IV,IV6,IV64,IV7,IVM7,V,V6,V7,VI,VI7,VII,i,i7,ii,iii,iv,v,vi,vi7,vii,vi°,♭II,♭III,♭VII,♯iii,♯iv,♯i°7,♯vi
I,-0.36117361787803426,0.8322443195065239,0.9965473707978003,-3.6855838563264194,0.0,-2.6475961894747444,0.0,1.1506980506250586,0.28671327145284037,1.284229443249581,1.146079104768764,0.0,0.0,0.36340355621003495,0.8964639122408178,-0.3252084691845191,0.0,-0.5875727336520101,0.0,0.0,0.0,0.027146813609696875,0.46919244508059893,0.0,0.0,0.38268099311262965,0.49577208288531116,0.0,0.0,0.0,0.0,0.7987216274678804,0.0,0.0,1.284229443249581,0.0
I6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8380873829321795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I7,0.0,0.0,0.0,0.0,4.419723659178731,0.0,0.0,0.0,1.7045559903076568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,0.22643914910172674,0.0,0.0,0.14305754016267577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7777683468768709,0.0,0.0,2.579174025781244,1.0438440855008655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31317989331891205,0.11228588149592189,1.2292473088322284,0.0,2.915646262402457,0.0,0.0,0.0,2.915646262402457,0.0,0.0
II7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.177409360876247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,0.0,0.0,1.8741923875742956,0.0,0.0,0.0,0.0,0.0,0.9019940237618448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8760750497838545,1.4242755168952976,0.0,0.0,0.0,0.0,0.0,0.43712570108098203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.270339045137198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IM7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.270339045137198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.5743953439046213,-0.5598078898661911,0.0,0.0,0.0,0.0,1.8380873829321793,0.0,-1.57022746649884,0.0,0.0,1.8380873829321793,0.0,0.4196063353163874,0.0,0.0,0.0,0.0,-1.318913038217934,0.12970952264317556,0.7394750942640698,0.6680161302819247,-0.8864921201212412,0.0,0.0,-0.004444411669298711,0.0,0.0,0.0,0.0,1.8380873829321795,0.0,0.0,0.0,0.0,0.0
IV6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.177409360876247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV64,1.0889206909288156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6398375245843868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.593361461815368,0.0,0.0,-0.8567953399078936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV7,1.284229443249581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVM7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.270339045137198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.45560975007676885,0.0,0.0,1.3241460506550238,0.0,0.0,0.0,-0.28529186177907656,-0.3213968664211928,0.0,-0.3870745560890188,0.0,1.7941496799007592,-2.3512500531216256,0.0,0.8778589480266044,0.0,1.3086418641190585,0.0,0.0,0.0,0.44175687045655015,0.6790080892814392,0.0,0.0,0.17476143661349086,0.0,0.0,1.7941496799007592,0.0,0.0,-1.1762647856689417,1.7941496799007592,0.0,0.0,0.0
V6,-0.25621559769756763,0.0,0.0,0.2765889327871982,0.0,0.0,0.0,0.0,-0.8009699466830792,0.0,0.0,0.0,0.0,0.0,1.9141977221879949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8293362125765547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V7,0.8787643351414169,0.0,3.0979678191964113,0.0,0.0,1.2455837281519215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22075334064150548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI,0.0,0.0,0.0,-0.12887617532096618,0.0,1.1967935639824896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8290687838571724,0.0,0.0,0.0,1.177375478125388,1.9716187755567023,-1.1849288495702799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5375304229409115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VI7,0.0,0.0,0.0,2.4301384466207563,4.627363023956976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3278126111073323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6257658576579885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.571458719678231,2.475354105097668,0.0,0.0,0.0,0.0,4.035311960268399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i,0.0,0.0,0.0,-0.21984795352669276,0.0,2.609899182553037,0.0,0.0,-1.7028719411051345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3800205078912569,0.0,1.9412716191674102,1.8595935881531431,2.5527407687130883,0.0,0.0,2.7911517921580864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.958205876821253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ii,-0.4248383101333604,1.832586386741832,0.0,0.0,0.0,0.0,0.0,0.0,1.0547891053779368,0.0,0.0,0.0,0.0,0.2986560268158769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2600671939705015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.866202997540817,0.0,0.0,0.0,0.0
iii,-1.7280321322556202,0.0,0.0,1.8005046717831368,0.0,0.0,0.0,0.0,0.8627077346880179,0.0,0.0,0.0,0.0,-0.3708140352172386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4072898678186722,0.7623241222999447,0.0,0.0,-0.8405348190361133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iv,0.0,0.0,0.0,0.0,0.0,3.334594720847908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07765249700083209,0.0,0.0,0.0,0.0,0.0,1.7795508804796067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.958205876821253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vi,-2.2322787849235683,0.0,0.0,-0.6008619657706928,1.8840446840173073,0.031660592972817626,0.0,0.0,1.094167876998811,0.0,0.0,0.0,0.0,0.5463249930459739,1.5475724473960946,0.0,0.0,0.0,0.0,0.0,0.0,0.5961903957106693,0.0,0.0,0.0,-0.6516342911441162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vi7,0.5603106040228824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.005692319536489,1.7498946708967185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vii,-2.011607422754748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5428352516198534,0.0,0.0,2.0559258820166963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vi°,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7868472733103475
♭II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.958205876821253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
♭III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7941496799007592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
