,I,I6,II,II64,III,IIIM7,IV,IV6,IV7,IVM7,V,V+,V6,V7,VI,VI7,VII,VII6,VII9,VIM7,VM7,i,i42,i7,ii,ii7,iii,iv,iv64,v,vi,vi7,vii,♭II,♭III,♭IV,♭V,♭VI,♭VII,♭iii,♭vii,♭vii64,♯I,♯II,♯IV,♯V,♯VII,♯VM7,♯i,♯ii,♯iii,♯iv,♯vi,♯vi7,♯vii7,♯vii°7,♯viiø7,♯viø7,𝄪VI,𝄪iv,𝄪vii
I,-0.8597098103946829,0.0,1.1689146877884473,0.0,-1.793016659645484,0.0,0.7669197781350319,0.0,0.0,0.0,1.542807906422934,0.0,0.0,0.0,-2.8520499620329356,0.0,-0.4733481918240875,0.0,0.0,0.0,1.536207222391582,0.0,0.0,0.0,1.4152546119739193,0.0,-0.2761715340392088,0.0,0.0,0.0,1.083275577044494,1.0331036447195017,0.0,0.0,0.23125850072564372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I6,0.0,0.0,0.0,0.0,0.0,0.0,2.6220303549433703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,1.3246692171976802,0.0,-1.545627048895443,2.9048367473316676,0.0,0.0,0.0,0.0,0.0,0.0,-0.033001547803421044,0.0,0.5069414745332966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3452209593962445,0.0,0.0,0.0,1.6252265288001113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7434858148520176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III,-2.8916289483135937,0.0,0.0,0.0,-0.1298257936998226,0.0,0.0,1.770744453378211,0.0,0.0,-0.9912031752932131,0.0,0.0,0.0,0.3617383163238926,0.0,1.8361976931747603,2.6397823004018206,0.0,0.0,0.0,-0.3458996372986688,0.0,0.0,-1.729665552065201,0.0,0.0,0.11098145705659503,0.0,0.545741959300832,-0.5857380671850486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5790935244663803,0.0,0.0,0.0,2.3678485849181787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IIIM7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.582711821318997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.505152941848719,0.0,0.0,0.0
IV,1.7155919195122267,0.0,0.0,0.0,-2.0934878882135863,0.0,0.1574437076463274,0.0,0.0,0.0,0.672803453262063,0.0,0.0,0.0,-1.0730796489212022,2.6220303549433703,-1.2201065230206094,0.0,0.0,0.0,0.0,-2.1962330465054296,0.0,0.0,0.0,1.928883174383425,0.0,0.0,0.0,-1.206611041545725,0.437963862184662,0.4702681516839083,0.0,0.0,0.0,0.0,0.0,-0.25716810235466914,2.11120473117738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2790856038165397,0.0,0.0,0.0,0.0,0.0,2.380868298126482,1.643269354995703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.865260664824317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.651704692805947,0.0,0.0,0.0,0.0,4.908134221753624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IVM7,2.2293544029515275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
