,I,I42,I43,I6,I64,I7,I9,II,II42,II6,II64,II7,II9,III,III6,III64,III7,IIIM7,IIM7,IM7,IV,IV6,IV64,IV7,IVM43,IVM7,V,V+,V43,V6,V64,V65,V7,VI,VI+,VI6,VI64,VI7,VII,VII6,VII64,VII65,VII7,VIIM7,VIIM9,VIM7,i,i43,i6,i7,i9,ii,ii42,ii7,iii,iii7,iii9,iii°,iiiø7,iv,iv11,iv64,iv7,iv°,v,v42,v6,v7,vi,vi42,vi64,vi7,vi9,viM7,vii,vii6,vii7,vii°,viiø7,v°7,♭II,♭II+,♭II7,♭III,♭III64,♭III7,♭III9,♭IIIM7,♭IIM7,♭IV7,♭V,♭VI,♭VI7,♭VII,♭VII6,♭VII64,♭VII7,♭VIIM7,♭ii,♭iii°7,♭ii°,♭iiø7,♭iv,♭vi,♭vii,♭vii°,♭vi°,♯I,♯I+,♯I7,♯II7,♯III,♯III+,♯IV,♯IV+,♯IV7,♯V,♯V7,♯VI,♯VI7,♯VII,♯VII+,♯VII9,♯i,♯i64,♯i7,♯ii,♯iii,♯iii°7,♯ii°,♯iv,♯iv7,♯iv°,♯iv°7,♯ivø7,♯i°7,♯v,♯vi,♯vi7,♯vi°,♯v°
I,-0.1398300063687894,0.0,0.0,0.0,1.0210948704087375,0.37884533635778894,1.8038542096583703,0.09547634936936596,0.0,0.0,0.0,0.2505057638753133,0.0,-1.9833611451764281,0.0,0.0,0.351601880746682,0.0,0.0,1.7238115019848335,0.4332871260264378,-2.6149863981382278,0.7052419209902606,-1.8070637029858543,1.5807106583441604,0.0,0.5941759956648812,0.0,0.0,1.3730712935659155,1.311377724560576,0.0,-0.26160109004672594,-2.2942710754036364,0.0,0.0,0.0,0.0,-2.4294468176500725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6994427375762053,0.0,0.0,0.0,0.0,0.31138797380977395,0.012094740430315084,0.6120237921581595,0.3143756123032486,0.29977681288209623,0.0,0.0,0.0,-1.7672422087991826,0.0,0.0,0.0,0.0,-0.02791059418338414,0.0,0.0,0.5045712255281092,0.5407818715041407,0.0,0.0,0.5427229914924854,0.0,0.0,-1.014544048612705,0.0,1.1752455502359958,0.0,0.0,0.0,-0.14205593939694333,0.0,0.7052419209902604,-0.5756919244718037,0.0,0.0,0.0,0.0,0.0,1.80385420965837,0.0,-0.380947847679292,0.0,0.7554455129568395,0.0,-0.7610951478031668,0.0,0.0,0.0,0.0,1.8038542096583703,0.0,0.0,0.0,0.0,0.0,1.110707029098425,-1.104866686905991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7610951478031668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.552539781377464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1107070290984247,0.0,0.0,0.0
I42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9951293797088685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.785069071749729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I6,-0.3445802035084175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29868009028513853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.330467771457057,0.0,0.0,2.767195672318524,0.0,1.3362908814319094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7559489629793699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.895417128918594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I64,1.0210948704087375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9495069798632807,6.028948521543117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04921923065355532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.171733752609965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.661223741417799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04811926853139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.741266449091335,0.0,0.0,0.0,0.0,0.0,0.0
I7,0.0,0.0,0.0,0.0,0.0,2.860303898640752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7688162536333798,0.0,2.324476972669344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2229055694814055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24503543098950822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.234019477553782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7074473072570877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,0.20880503467636918,0.0,0.0,0.0,0.0,0.0,0.0,1.54894765613429,0.0,0.0,0.0,0.7057991792938981,0.0,0.033579518839908847,0.0,0.0,0.0,0.0,0.0,0.0,-0.9396941407581298,0.0,0.0,0.0,0.0,0.0,0.32863423899235406,0.0,0.0,0.0,2.172136248087325,0.0,0.0,1.037407855936373,0.0,1.191306995075599,0.0,0.0,0.0,0.0,0.0,0.0,1.3248383877001215,0.0,0.0,0.0,-2.2325484104791404,0.0,0.0,0.0,0.0,0.07353420866841341,0.0,0.0,0.7252172651509995,3.5584306092072158,0.0,0.0,0.0,-0.7058129898102824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1755724486238441,0.0,0.0,0.0,0.0,0.0,2.4672532990266243,0.0,0.0,0.0,0.0,0.0,1.170687707872863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7057991792938981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1132957480643917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.603467330020804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II6,0.41755984853847944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8473104351897809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19800222191264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.493254129674215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7925371138044754,0.0,0.0,0.0,0.0,0.0
II7,-0.537951596488957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.492739362086004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.183951824623712,0.0,0.0,1.7344528793550975,0.0,0.0,1.3407492102102476,0.0,0.0,0.0,0.0,0.0,1.0826909149580064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7063134623840632,0.0,0.0,0.0,-1.9496856244633083,0.0,0.0,0.0,0.0,-0.08543575759479367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203979787150506,0.0,3.3994606429440086,0.0,-0.48724455449984766,0.0,0.0,1.2510262297772212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.246758503331212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9951293797088685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
