,from_roman,to_roman
0,IV64,I
1,I,IV64
2,IV64,I
3,I,IV64
4,IV64,I
5,I,I
6,I,IV64
7,IV64,I
8,I,I
9,I,IV64
10,IV64,I
11,I,I
12,I,IV64
13,IV64,I
14,I,I
15,I,IV64
16,IV64,vi
17,vi,vi
18,vi,V
19,V,IV64
20,IV64,I
21,I,IV64
22,IV64,I
23,I,I
24,I,IV64
25,IV64,I
26,I,I
27,I,IV64
28,IV64,I
29,I,I
30,I,IV64
31,IV64,I
32,I,I
33,I,vi
34,vi,vi
35,vi,V
36,V,IV64
37,IV64,I
38,I,vi
39,vi,V
40,V,I
41,I,vi
42,vi,V
43,V,IV64
44,IV64,I
45,I,IV64
46,IV64,I
47,I,IV64
48,IV64,I
49,I,IV64
50,IV64,I
51,I,IV64
52,IV64,I
53,I,IV64
54,IV64,I
55,I,I
56,I,IV64
57,IV64,I
58,I,I
59,I,IV64
60,IV64,I
61,I,I
62,I,vi
63,vi,V
64,V,IV64
65,IV64,I
66,I,vi
67,vi,V
68,V,IV64
69,IV64,I
70,I,vi
71,vi,V
72,V,I
73,I,vi
74,vi,V
75,V,I
76,I,IV64
77,IV64,I
78,I,V
79,V,I
80,I,IV64
81,IV64,I
82,I,V
83,V,V
84,V,IV64
85,IV64,I
86,I,V
87,V,I
88,I,vi
89,vi,V
90,V,I
91,I,vi
92,vi,V
93,V,IV64
94,IV64,I
95,I,IV64
96,IV64,I
97,I,IV64
98,IV64,I
99,I,IV64
100,IV64,I
0,I,V
1,V,ii
2,ii,IV
3,IV,I
4,I,V
5,V,ii
6,ii,IV
7,IV,I
8,I,V
9,V,ii
10,ii,IV
11,IV,I
12,I,V
13,V,ii
14,ii,IV
15,IV,I
16,I,V
17,V,ii
18,ii,IV
19,IV,I
20,I,V
21,V,ii
22,ii,IV
23,IV,I
24,I,V
25,V,ii
26,ii,IV
27,IV,V
28,V,I
29,I,V
30,V,ii
31,ii,IV
32,IV,V
33,V,I
34,I,V
35,V,ii
36,ii,IV
37,IV,V
38,V,I
39,I,I
40,I,V
41,V,ii
42,ii,IV
43,IV,I
44,I,V
45,V,ii
46,ii,IV
47,IV,I
48,I,V
49,V,ii
50,ii,IV
51,IV,V
52,V,I
53,I,V
54,V,ii
55,ii,IV
56,IV,V
57,V,I
58,I,V
59,V,ii
60,ii,IV
61,IV,V
62,V,I
63,I,ii
64,ii,IV
65,IV,I
66,I,V
67,V,ii
68,ii,IV
69,IV,I
70,I,V
71,V,♭VII
72,♭VII,I
73,I,ii
74,ii,I6
75,I6,IV
76,IV,V
77,V,♭VII
78,♭VII,I
79,I,ii
80,ii,I6
81,I6,IV
82,IV,V
83,V,I
84,I,V
85,V,ii
86,ii,IV
87,IV,I
88,I,V
89,V,ii
90,ii,IV
91,IV,V
92,V,I
93,I,V
94,V,ii
95,ii,IV
96,IV,V
97,V,I
98,I,I
99,I,V
100,V,ii
101,ii,IV
102,IV,V
103,V,I
104,I,V
105,V,ii
106,ii,IV
107,IV,V
108,V,I
109,I,V
110,V,ii
111,ii,I6
112,I6,IV
0,I,V7
1,V7,I
2,I,I7
3,I7,IV
4,IV,IV7
5,IV7,I
6,I,VI7
7,VI7,II7
8,II7,V7
9,V7,I
10,I,I
11,I,V7
12,V7,III
13,III,I7
14,I7,IV
15,IV,IV7
16,IV7,I
17,I,VI7
18,VI7,II7
19,II7,V7
20,V7,I
21,I,III
22,III,vi
23,vi,III
24,III,vi
25,vi,III
26,III,vi
27,vi,II7
28,II7,V7
29,V7,I7
30,I7,II7
31,II7,V7
32,V7,I
33,I,V7
34,V7,I
0,i,III
1,III,VII
2,VII,i
3,i,VII
4,VII,i
5,i,i
6,i,III
7,III,VII
8,VII,i
9,i,VII
10,VII,v
11,v,i
12,i,i
13,i,III
14,III,VII
15,VII,i
16,i,VII
17,VII,v
18,v,i
19,i,i
20,i,III
21,III,VII
22,VII,i
23,i,VII
24,VII,v
25,v,i
26,i,i
27,i,III
28,III,VII
29,VII,i
30,i,VII
31,VII,v
32,v,i
33,i,i
34,i,III
35,III,VII
36,VII,i
37,i,VII
38,VII,v
39,v,i
40,i,i
41,i,III
42,III,VII
43,VII,i
44,i,VII
45,VII,i
46,i,i
47,i,III
48,III,VII
49,VII,i
50,i,VII
51,VII,v
52,v,i
53,i,i
54,i,III
55,III,VII
56,VII,i
57,i,VII
58,VII,v
59,v,i
60,i,i
61,i,III
62,III,VII
63,VII,i
64,i,VII
65,VII,v
66,v,i
67,i,i
68,i,III
