,from_roman,to_roman
0,i,VI
1,VI,III
2,III,VII
3,VII,i
4,i,VI
5,VI,III
6,III,VII
7,VII,i
8,i,VI
9,VI,III
10,III,VII
11,VII,i
12,i,VI
13,VI,III
14,III,v
15,v,i
16,i,VI
17,VI,III
18,III,VII
19,VII,i
20,i,VI
21,VI,III
22,III,VII
23,VII,i
24,i,VI
25,VI,III
26,III,VII
27,VII,i
28,i,VI
29,VI,III
30,III,VII
31,VII,i
32,i,VI
33,VI,III
34,III,VII
35,VII,i
36,i,VI
37,VI,III
38,III,VII
39,VII,i
40,i,VI
41,VI,III
42,III,VII
43,VII,i
44,i,VI
45,VI,III
46,III,v
47,v,i
48,i,VI
49,VI,III
50,III,VII
51,VII,i
52,i,VI
53,VI,III
54,III,VII
55,VII,i
56,i,VI
57,VI,III
58,III,VII
59,VII,i
60,i,VI
61,VI,III
62,III,VII
63,VII,i
64,i,VI
65,VI,III
66,III,VII
67,VII,i
68,i,VI
69,VI,III
70,III,VII
71,VII,i
72,i,VI
73,VI,III
74,III,VII
75,VII,i
76,i,VI
77,VI,III
78,III,VII
79,VII,i
80,i,VI
81,VI,III
82,III,VII
83,VII,i
84,i,VI
85,VI,III
86,III,VII
87,VII,i
88,i,VI
89,VI,III
90,III,VII
0,i,III
1,III,IV6
2,IV6,VI
3,VI,V7
4,V7,i
5,i,III
6,III,IV6
7,IV6,VI
8,VI,i
9,i,III
10,III,IV6
11,IV6,VI
12,VI,i
13,i,III
14,III,IV6
15,IV6,VI
16,VI,i
17,i,III
18,III,IV6
19,IV6,VI
20,VI,V7
21,V7,V7
22,V7,i
23,i,III
24,III,IV6
25,IV6,V7
26,V7,i
27,i,III
28,III,IV6
29,IV6,VI
30,VI,i
31,i,i
32,i,III
33,III,IV6
34,IV6,VI
35,VI,i
36,i,i
37,i,III
38,III,IV6
39,IV6,IV6
40,IV6,VI
41,VI,i
42,i,III
43,III,IV6
44,IV6,VI
45,VI,V7
46,V7,V7
47,V7,i
48,i,III
49,III,IV6
50,IV6,IV6
51,IV6,V7
52,V7,i
53,i,III
54,III,IV6
55,IV6,VI
56,VI,i
