,from_roman,to_roman
0,i,III
1,III,iv
2,iv,VI
3,VI,V
4,V,i
5,i,III
6,III,iv
7,iv,VI
8,VI,V
9,V,i
10,i,III
11,III,iv
12,iv,VI
13,VI,V
14,V,i
15,i,III
16,III,iv
17,iv,VI
18,VI,V
19,V,i
20,i,i7
21,i7,iv64
22,iv64,VI6
23,VI6,V
24,V,i
25,i,i7
26,i7,iv64
27,iv64,VI6
28,VI6,V
29,V,i
30,i,III
31,III,iv
32,iv,VI
33,VI,V
34,V,i
35,i,III
36,III,iv
37,iv,VI
38,VI,V
39,V,i
40,i,i
41,i,III
42,III,iv
43,iv,VI
44,VI,V
45,V,i
46,i,III
47,III,iv
48,iv,VI
49,VI,V
50,V,i
51,i,III
52,III,iv
53,iv,VI
54,VI,V
55,V,i
56,i,III
57,III,iv
58,iv,VI
59,VI,V
60,V,i
61,i,i7
62,i7,iv64
63,iv64,VI6
64,VI6,V
65,V,i
66,i,i7
67,i7,iv64
68,iv64,VI6
69,VI6,V
70,V,i
71,i,III
72,III,iv
73,iv,VI
74,VI,V
75,V,i
76,i,III
77,III,iv
78,iv,VI
79,VI,V
80,V,VI
81,VI,VI
82,VI,v
83,v,i
84,i,VII
85,VII,VI
86,VI,v
87,v,i
88,i,VII
89,VII,iv
90,iv,i
91,i,i7
92,i7,iv64
93,iv64,VI6
94,VI6,V
95,V,i
96,i,i7
97,i7,iv64
98,iv64,VI6
99,VI6,V
100,V,i
101,i,III
102,III,iv
103,iv,VI
104,VI,V
105,V,i
106,i,III
107,III,iv
108,iv,VI
109,VI,V
110,V,i
0,IV,♭VII64
1,♭VII64,IV
2,IV,♭VII64
3,♭VII64,IV
4,IV,♭VII64
5,♭VII64,IVM9
6,IVM9,I6
7,I6,♭VII6
8,♭VII6,IV64
9,IV64,I
10,I,VI
11,VI,ii7
12,ii7,V65
13,V65,♭VII
14,♭VII,v7
15,v7,IV
16,IV,♭VII64
17,♭VII64,IVM9
18,IVM9,♭VII64
19,♭VII64,♭VII64
20,♭VII64,IVM9
21,IVM9,♭VII64
22,♭VII64,♭VII64
23,♭VII64,IV
24,IV,♭VII64
25,♭VII64,IV
26,IV,ii7
27,ii7,I
28,I,I
29,I,I
30,I,I
31,I,I
32,I,ii
33,ii,I
34,I,ii
35,ii,IV
36,IV,♭VII64
37,♭VII64,IV
38,IV,ii7
39,ii7,I
40,I,I
41,I,I
42,I,I
43,I,I
44,I,ii
45,ii,I
46,I,ii
47,ii,v7
48,v7,I
49,I,IV
50,IV,♭VII64
51,♭VII64,IV
52,IV,♭VII64
53,♭VII64,IV
54,IV,♭VII
55,♭VII,IVM9
56,IVM9,IV
57,IV,I6
58,I6,♭VII6
59,♭VII6,IV
60,IV,I
61,I,VI7
62,VI7,ii7
63,ii7,V65
64,V65,♭VII
65,♭VII,v7
66,v7,IV
67,IV,♭VII64
68,♭VII64,IVM9
69,IVM9,♭VII64
70,♭VII64,IVM9
71,IVM9,♭VII64
72,♭VII64,♭VII64
73,♭VII64,IVM9
74,IVM9,♭VII64
75,♭VII64,♭VII64
76,♭VII64,IV
77,IV,♭VII64
78,♭VII64,IV
79,IV,ii7
80,ii7,I
81,I,I
82,I,I
83,I,I
84,I,I
85,I,ii
86,ii,I
87,I,ii
88,ii,v7
89,v7,I
90,I,IV
91,IV,♭VII64
92,♭VII64,IV
93,IV,♭VII64
94,♭VII64,IV
95,IV,♭VII
96,♭VII,IVM9
97,IVM9,IV
98,IV,I6
99,I6,♭VII6
100,♭VII6,IV
101,IV,I
102,I,VI7
103,VI7,ii7
104,ii7,V65
105,V65,♭VII
106,♭VII,v7
107,v7,IV
108,IV,♭VII64
109,♭VII64,IVM9
110,IVM9,♭VII64
