,from_roman,to_roman
0,I,IV
1,IV,vi
2,vi,V
3,V,I
4,I,IV
5,IV,vi
6,vi,V
7,V,IV
8,IV,V
9,V,I
10,I,vi
11,vi,IV
12,IV,♭VI
13,♭VI,V
14,V,I
15,I,I
16,I,IV
17,IV,vi
18,vi,V
19,V,I
20,I,IV
21,IV,vi
22,vi,V
23,V,IV
24,IV,V
25,V,I
26,I,vi
27,vi,IV
28,IV,♭VI
29,♭VI,I
30,I,I
31,I,IV
32,IV,vi
33,vi,V
34,V,I
35,I,IV
36,IV,vi
37,vi,V
38,V,IV
39,IV,V
40,V,I
41,I,vi
42,vi,IV
43,IV,♭VI
44,♭VI,vi
45,vi,V
46,V,IV
47,IV,♭VI
48,♭VI,vi
49,vi,vi
50,vi,IV
51,IV,♭VI
52,♭VI,V
53,V,I
0,i,III
1,III,iv
2,iv,VI
3,VI,V
4,V,i
5,i,III
6,III,iv
7,iv,VI
8,VI,V
9,V,i
10,i,III
11,III,iv
12,iv,VI
13,VI,V
14,V,i
15,i,III
16,III,iv
17,iv,VI
18,VI,V
19,V,i
20,i,i7
21,i7,iv64
22,iv64,VI6
23,VI6,V
24,V,i
25,i,i7
26,i7,iv64
27,iv64,VI6
28,VI6,V
29,V,i
30,i,III
31,III,iv
32,iv,VI
33,VI,V
34,V,i
35,i,III
36,III,iv
37,iv,VI
38,VI,V
39,V,i
40,i,i
41,i,III
42,III,iv
43,iv,VI
44,VI,V
45,V,i
46,i,III
47,III,iv
48,iv,VI
49,VI,V
50,V,i
51,i,III
52,III,iv
53,iv,VI
54,VI,V
55,V,i
56,i,III
57,III,iv
58,iv,VI
59,VI,V
60,V,i
61,i,i7
62,i7,iv64
63,iv64,VI6
64,VI6,V
65,V,i
66,i,i7
67,i7,iv64
68,iv64,VI6
69,VI6,V
70,V,i
71,i,III
72,III,iv
73,iv,VI
74,VI,V
75,V,i
76,i,III
77,III,iv
78,iv,VI
79,VI,V
80,V,VI
81,VI,VI
82,VI,v
83,v,i
84,i,VII
85,VII,VI
86,VI,v
87,v,i
88,i,VII
