Source,Target,size,percent,log_ratio
I,I,901,0.02368621677751781,-0.06452490884558577
I,I+,12,0.0003154657062488499,1.8491607667692112
I,I6,44,0.001156707589579116,0.6917079780781679
I,I64,16,0.00042062094166513315,0.9841633292826066
I,I7,37,0.0009726859276006204,0.7966395853013684
I,I9,8,0.00021031047083256658,1.849160766769211
I,II,202,0.005310339388522306,0.16717196367653492
I,II7,24,0.0006309314124976998,0.1909326901656787
I,III,40,0.0010515523541628328,-2.161802186513839
I,III7,14,0.0003680433239569915,0.39387353416236914
I,IM7,81,0.002129393517179737,1.7662731069634434
I,IV,1207,0.03173059228686348,0.47097708752413303
I,IV6,3,7.886642656221247e-05,-1.9648818302987312
I,IV64,63,0.0016561949578064617,1.4924858228304785
I,IV7,1,2.6288808854070822e-05,-2.5452883879032275
I,IVM43,4,0.00010515523541628329,1.6260172154550012
I,IVM7,1,2.6288808854070822e-05,-2.6051865294842966
I,V,1362,0.03580535765924446,0.6643124056613559
I,V6,137,0.0036015668130077024,1.3397960636428952
I,V64,11,0.000289176897394779,1.3566842816714169
I,V7,36,0.0009463971187465496,-0.3874032251270407
I,VI,25,0.0006572202213517706,-2.746766837851948
I,VI6,3,7.886642656221247e-05,-0.27110276943087996
I,VI7,4,0.00010515523541628329,-0.6563651702215252
I,VII,47,0.0012355740161413286,-2.0839156478567675
I,VM7,8,0.00021031047083256658,1.1560135862092658
I,i,6,0.00015773285312442495,-4.306758335304301
I,ii,292,0.00767633218538868,0.46286640564932036
I,ii42,1,2.6288808854070822e-05,0.05740129754115607
I,ii7,68,0.0017876390020768159,0.5512155754806101
I,iiM7,1,2.6288808854070822e-05,-0.6357458830187892
I,iii,186,0.004889718446857173,0.51812908432437
I,iii64,5,0.0001314440442703541,1.849160766769211
I,iii7,4,0.00010515523541628329,-0.45342432622483464
I,iv,11,0.000289176897394779,-2.309722316590461
I,v,59,0.0015510397223901784,-0.43632989286553464
I,v7,14,0.0003680433239569915,0.4992340498201952
I,vi,634,0.016667104813480903,0.5959472463401119
I,vi7,83,0.002181971134887878,0.699656870804712
I,vii,4,0.00010515523541628329,-2.15817241846326
I,vii7,8,0.00021031047083256658,1.2205521073468368
I,♭II,7,0.00018402166197849576,-1.7996404637773147
I,♭II7,1,2.6288808854070822e-05,0.7505484781011014
I,♭III,28,0.000736086647913983,-0.7822140666740313
I,♭IV7,3,7.886642656221247e-05,1.8491607667692112
I,♭VI,18,0.0004731985593732748,-1.2544289026411934
I,♭VII,202,0.005310339388522306,0.7423315049988204
I,♭VII64,11,0.000289176897394779,0.258071993003307
I,♭ii°,1,2.6288808854070822e-05,1.849160766769211
I,♭vi°,2,5.2577617708141644e-05,1.1560135862092658
I,♯I,3,7.886642656221247e-05,-1.471067552359277
I,♯IV,1,2.6288808854070822e-05,-2.8329704603550088
I,♯V,3,7.886642656221247e-05,-1.5955217268326831
I,♯VI,2,5.2577617708141644e-05,-0.7157885906923258
I,♯iii,28,0.000736086647913983,1.1038278330386955
I,♯i°7,5,0.0001314440442703541,1.3791571375234755
I,♯vi,13,0.0003417545151029207,0.3032362600574365
I+,I,9,0.0002365992796866374,1.56147869431743
I+,IV,2,5.2577617708141644e-05,0.3005153304216813
I42,IV,6,0.00015773285312442495,2.0922747996497364
I43,vii,3,7.886642656221247e-05,5.172724153639984
I6,I,7,0.00018402166197849576,-1.14657150678478
I6,IV,73,0.00191908304634717,1.441091818188823
I6,V,4,0.00010515523541628329,-1.390554209314381
I6,i6,1,2.6288808854070822e-05,3.0597599199215044
I6,ii,36,0.0009463971187465496,2.145180052450979
I6,ii7,2,5.2577617708141644e-05,0.8004035614782792
I6,vi,13,0.0003417545151029207,0.484396159978253
I6,♭VII6,3,7.886642656221247e-05,4.3254262932527805
I6,♯ii°,1,2.6288808854070822e-05,5.624709277383041
I64,I,16,0.00042062094166513315,0.9841633292826066
I64,II6,2,5.2577617708141644e-05,4.626180447271914
I64,II64,2,5.2577617708141644e-05,5.83015325159785
I64,IV,5,0.0001314440442703541,0.06412655235745104
I64,V,2,5.2577617708141644e-05,-0.7796451269914076
I64,V7,3,7.886642656221247e-05,2.2072948985817082
I64,♭VII64,6,0.00015773285312442495,4.73154096292974
I64,♭vi°,1,2.6288808854070822e-05,5.5424711791460695
I64,♯ivø7,1,2.6288808854070822e-05,6.235618359706015
I7,I7,7,0.00018402166197849576,3.1853836608235246
I7,II7,1,2.6288808854070822e-05,1.0666306989288006
I7,IV,79,0.002076815899471595,1.7982835580046908
I7,IV64,1,2.6288808854070822e-05,1.4031029355500135
I7,IVM7,2,5.2577617708141644e-05,2.141712490186716
I7,VI,6,0.00015773285312442495,-0.12013135438102597
I7,ii7,2,5.2577617708141644e-05,1.0786068899755163
I7,vi7,4,0.00010515523541628329,1.7208624632390723
I7,♭III,1,2.6288808854070822e-05,-0.06066673773816765
