Source,Target,sum_appearance,percent,log_ratio,probability
I,I,142,0.054657428791377985,-0.36117361787803426,0.19694868238557559
I,I6,7,0.0026943802925327174,0.8322443195065239,0.009708737864077669
I,I7,6,0.0023094688221709007,0.9965473707978003,0.008321775312066574
I,II,1,0.00038491147036181676,-3.6855838563264194,0.0013869625520110957
I,III,1,0.00038491147036181676,-2.6475961894747444,0.0013869625520110957
I,IM7,7,0.0026943802925327174,1.1506980506250586,0.009708737864077669
I,IV,156,0.06004618937644342,0.28671327145284037,0.21636615811373092
I,IV6,2,0.0007698229407236335,1.284229443249581,0.0027739251040221915
I,IV64,54,0.020785219399538105,1.146079104768764,0.07489597780859916
I,V,176,0.06774441878367975,0.36340355621003495,0.24410540915395285
I,V6,19,0.007313317936874519,0.8964639122408178,0.026352288488210817
I,V7,3,0.0011547344110854503,-0.3252084691845191,0.004160887656033287
I,VI7,2,0.0007698229407236335,-0.5875727336520101,0.0027739251040221915
I,ii,33,0.012702078521939953,0.027146813609696875,0.04576976421636616
I,iii,27,0.010392609699769052,0.46919244508059893,0.03744798890429958
I,vi,41,0.01578137028483449,0.38268099311262965,0.056865464632454926
I,vi7,15,0.005773672055427252,0.49577208288531116,0.020804438280166437
I,♭VII,24,0.009237875288683603,0.7987216274678804,0.033287101248266296
I,♯i°7,5,0.001924557351809084,1.284229443249581,0.006934812760055479
I6,IV,11,0.004234026173979984,1.8380873829321795,1.0
I7,II7,1,0.00038491147036181676,4.419723659178731,0.125
I7,IV,7,0.0026943802925327174,1.7045559903076568,0.875
II,I,50,0.01924557351809084,0.22643914910172674,0.35714285714285715
II,II,9,0.003464203233256351,0.14305754016267577,0.06428571428571428
II,V,11,0.004234026173979984,-0.7777683468768709,0.07857142857142857
II,VI,45,0.017321016166281754,2.579174025781244,0.32142857142857145
II,VI7,2,0.0007698229407236335,1.0438440855008655,0.014285714285714285
II,vi,4,0.001539645881447267,-0.31317989331891205,0.02857142857142857
II,vi7,2,0.0007698229407236335,0.11228588149592189,0.014285714285714285
II,vii,5,0.001924557351809084,1.2292473088322284,0.03571428571428571
II,♭II,6,0.0023094688221709007,2.915646262402457,0.04285714285714286
II,♯iv,6,0.0023094688221709007,2.915646262402457,0.04285714285714286
II7,V7,4,0.001539645881447267,5.177409360876247,1.0
III,I7,1,0.00038491147036181676,1.8741923875742956,0.0196078431372549
III,IV,20,0.007698229407236336,0.9019940237618448,0.39215686274509803
III,VII,16,0.006158583525789068,2.8760750497838545,0.3137254901960784
III,i,11,0.004234026173979984,1.4242755168952976,0.21568627450980393
III,vi,3,0.0011547344110854503,0.43712570108098203,0.058823529411764705
III7,vi,1,0.00038491147036181676,3.270339045137198,1.0
IM7,vi,8,0.003079291762894534,3.270339045137198,1.0
IV,I,208,0.0800615858352579,0.5743953439046213,0.49523809523809526
IV,I6,1,0.00038491147036181676,-0.5598078898661911,0.002380952380952381
IV,III7,1,0.00038491147036181676,1.8380873829321793,0.002380952380952381
IV,IV,14,0.005388760585065435,-1.57022746649884,0.03333333333333333
IV,IV7,2,0.0007698229407236335,1.8380873829321793,0.004761904761904762
IV,V,107,0.041185527328714396,0.4196063353163874,0.25476190476190474
IV,VII,2,0.0007698229407236335,-1.318913038217934,0.004761904761904762
IV,i,25,0.00962278675904542,0.12970952264317556,0.05952380952380952
IV,i7,1,0.00038491147036181676,0.7394750942640698,0.002380952380952381
IV,ii,36,0.013856812933025405,0.6680161302819247,0.08571428571428572
IV,iii,4,0.001539645881447267,-0.8864921201212412,0.009523809523809525
IV,vi,16,0.006158583525789068,-0.004444411669298711,0.0380952380952381
IV,♭III,3,0.0011547344110854503,1.8380873829321795,0.007142857142857143
IV6,V7,2,0.0007698229407236335,5.177409360876247,1.0
IV64,I,51,0.019630484988452657,1.0889206909288156,0.8360655737704918
IV64,V,2,0.0007698229407236335,-1.6398375245843868,0.03278688524590164
