Id,sum_appearance,percent,average_appearance
i,495,0.1064516129032258,11.511627906976743
VI,322,0.06924731182795699,7.488372093023256
III,335,0.07204301075268817,7.790697674418604
VII,373,0.08021505376344086,8.674418604651162
v,138,0.02967741935483871,3.2093023255813953
IV6,31,0.006666666666666667,0.7209302325581395
V7,28,0.006021505376344086,0.6511627906976745
♯i,21,0.004516129032258065,0.4883720930232558
♯IV,25,0.005376344086021506,0.5813953488372093
VII6,9,0.001935483870967742,0.20930232558139536
♯iv,3,0.0006451612903225806,0.06976744186046512
vi7,43,0.009247311827956989,1.0
I,505,0.1086021505376344,11.744186046511627
IV,341,0.07333333333333333,7.930232558139535
V,302,0.06494623655913978,7.023255813953488
vi,151,0.03247311827956989,3.511627906976744
V6,11,0.0023655913978494624,0.2558139534883721
ii7,4,0.0008602150537634409,0.09302325581395349
I6,4,0.0008602150537634409,0.09302325581395349
ii,79,0.01698924731182796,1.8372093023255813
iii,147,0.031612903225806455,3.4186046511627906
VI7,3,0.0006451612903225806,0.06976744186046512
♭vii,20,0.004301075268817204,0.46511627906976744
♭IV,8,0.0017204301075268817,0.18604651162790697
♭VI,89,0.019139784946236558,2.0697674418604652
iv,163,0.03505376344086022,3.7906976744186047
𝄪VI,31,0.006666666666666667,0.7209302325581395
♯II,26,0.005591397849462366,0.6046511627906976
♯I,15,0.0032258064516129032,0.3488372093023256
♯V,61,0.013118279569892474,1.4186046511627908
𝄪iv,18,0.003870967741935484,0.4186046511627907
𝄪vii,6,0.0012903225806451613,0.13953488372093023
II,257,0.055268817204301074,5.976744186046512
VM7,16,0.0034408602150537634,0.37209302325581395
II64,3,0.0006451612903225806,0.06976744186046512
i7,34,0.007311827956989247,0.7906976744186046
IV7,32,0.006881720430107527,0.7441860465116279
VII9,13,0.002795698924731183,0.3023255813953488
IIIM7,36,0.007741935483870968,0.8372093023255814
♯viø7,47,0.01010752688172043,1.0930232558139534
♯VM7,35,0.007526881720430108,0.813953488372093
V+,12,0.0025806451612903226,0.27906976744186046
♯vii°7,20,0.004301075268817204,0.46511627906976744
♯viiø7,4,0.0008602150537634409,0.09302325581395349
♯vii7,1,0.00021505376344086021,0.023255813953488372
♯vi7,1,0.00021505376344086021,0.023255813953488372
♯VII,2,0.00043010752688172043,0.046511627906976744
♭III,59,0.012688172043010752,1.372093023255814
♭II,100,0.021505376344086023,2.3255813953488373
♭VII,5,0.001075268817204301,0.11627906976744186
♯ii,26,0.005591397849462366,0.6046511627906976
♯vi,26,0.005591397849462366,0.6046511627906976
♯iii,22,0.004731182795698925,0.5116279069767442
vii,4,0.0008602150537634409,0.09302325581395349
VIM7,32,0.006881720430107527,0.7441860465116279
i42,1,0.00021505376344086021,0.023255813953488372
♭V,17,0.0036559139784946237,0.3953488372093023
♭vii64,13,0.002795698924731183,0.3023255813953488
iv64,1,0.00021505376344086021,0.023255813953488372
♭iii,13,0.002795698924731183,0.3023255813953488
IVM7,11,0.0023655913978494624,0.2558139534883721
